geoName,Name,RelativePopularity,Locations,PercentageBreakdown,Rank
Oregon,Blimpie,1,156,0,7
Oregon,Schlotzsky's,0,330,0,7
Oregon,Which Wich,2,431,0,7
Oregon,Jason's Deli,0,300,0,7
Pennsylvania,Subway,57,37540,52,1
Pennsylvania,Jimmy Johns,29,2755,26,2
Pennsylvania,Jersey Mikes,9,1973,8,3
Pennsylvania,Firehouse Subs,7,1200,6,4
Pennsylvania,Quiznos,6,500,5,5
Pennsylvania,Blimpie,0,156,0,6
Pennsylvania,Schlotzsky's,0,330,0,6
Pennsylvania,Which Wich,0,431,0,6
Pennsylvania,Potbelly Sandwich,0,474,0,6
Pennsylvania,Jason's Deli,0,300,0,6
Rhode Island,Subway,56,37540,74,1
Rhode Island,Jersey Mikes,10,1973,13,2
Rhode Island,Jimmy Johns,4,2755,5,3
Rhode Island,Quiznos,3,500,4,4
Rhode Island,Firehouse Subs,2,1200,2,5
Rhode Island,Blimpie,0,156,0,6
Rhode Island,Schlotzsky's,0,330,0,6
Rhode Island,Which Wich,0,431,0,6
Rhode Island,Potbelly Sandwich,0,474,0,6
Rhode Island,Jason's Deli,0,300,0,6
South Carolina,Subway,62,37540,35,1
South Carolina,Jimmy Johns,44,2755,24,2
South Carolina,Firehouse Subs,35,1200,19,3
South Carolina,Jersey Mikes,19,1973,10,4
South Carolina,Quiznos,6,500,3,5
South Carolina,Which Wich,6,431,3,5
South Carolina,Blimpie,3,156,1,7
South Carolina,Jason's Deli,2,300,1,7
South Carolina,Schlotzsky's,0,330,0,9
South Carolina,Potbelly Sandwich,0,474,0,9
South Dakota,Jimmy Johns,85,2755,36,1
South Dakota,Subway,81,37540,34,2
South Dakota,Quiznos,23,500,9,3
South Dakota,Firehouse Subs,22,1200,9,3
South Dakota,Jersey Mikes,11,1973,4,5
South Dakota,Potbelly Sandwich,10,474,4,5
South Dakota,Blimpie,0,156,0,7
South Dakota,Schlotzsky's,1,330,0,7
South Dakota,Which Wich,0,431,0,7
South Dakota,Jason's Deli,0,300,0,7
Tennessee,Subway,63,37540,36,1
Tennessee,Jimmy Johns,46,2755,26,2
Tennessee,Firehouse Subs,29,1200,16,3
Tennessee,Jersey Mikes,12,1973,7,4
Tennessee,Quiznos,8,500,4,5
Tennessee,Which Wich,6,431,3,6
Tennessee,Jason's Deli,6,300,3,6
Tennessee,Blimpie,1,156,0,8
Tennessee,Schlotzsky's,0,330,0,8
Tennessee,Potbelly Sandwich,0,474,0,8
Texas,Subway,70,37540,31,1
Texas,Jimmy Johns,55,2755,25,2
Texas,Firehouse Subs,25,1200,11,3
Texas,Jason's Deli,20,300,9,4
Texas,Quiznos,16,500,7,5
Texas,Jersey Mikes,13,1973,5,6
